Title,Keyword,KeywordID,Position,Previous position,SearchVolumeID,CPCID,TrafficID,TrafficCostID,CompetitionID,ResultID
PMP® Exam & Certification | Flat 40% Off - Enroll Now,pmp certification,1,1,1,1,1,1,1,1,1
PMP® Exam & Certification | Confidently Ace The PMP Exam,pmp certification,1,1,1,1,1,1,1,1,1
PMP® Training & Exam | Special Offer: Get $400 Off,pmp certification,1,1,2,1,1,1,1,1,1
CSM Scrum Master Course Online | Today's Offer: Up To 51% Off,scrum master certification,2,1,1,2,2,2,2,2,2
PMP® Certification | Ace PMP Exam in 1st Attempt,pmp certification,1,3,3,1,1,1,1,1,1
ITIL® 4 Certification Course | 100% Money Back Guarantee,itil certification,3,1,1,3,3,3,3,3,3
PMP® Exam & Certification | Flat 40% Off - Enroll Now,pmp certification,1,4,4,1,1,1,1,1,1
CSM Scrum Master Course Online | Today's Offer: Up To 51% Off,certified scrum master certification,2,1,1,2,2,2,2,2,2
Scrum Alliance CSM® Training | Flash Sale: Enroll @ $270,csm certification,2,1,1,2,2,2,2,2,2
PMP® Certification Course | Ace PMP Exam in 1st Attempt,pmp certification,1,6,0,1,1,1,1,1,1
Simplilearn PMP® Course | Special Offer: Get $400 Off,simplilearn,1,1,1,1,1,1,1,1,1
Simplilearn® Courses | Online Certification Courses,simplilearn,4,1,1,4,4,4,4,4,4
PMP® Certification Course,pmp certification requirements,1,1,0,1,1,1,1,1,1
CSM Scrum Master Course Online - Limited-time Offer: $270 Only,certified scrum master,2,1,1,2,2,2,2,2,2
PMI Certified PMP® Training | Ace PMP Exam in 1st Attempt,pmi certification,1,1,1,1,1,1,1,1,1
PMP® Certification | Special Offer: Get $400 Off,project management certification,1,5,5,1,1,1,1,1,1
CSM Scrum Master Course Online | Today's Offer: Up To 51% Off,scrum master certification,2,2,2,2,2,2,2,2,2
Become a Certified ScrumMaster | Today's Offer: Up To 51% Off,scrum master certification,2,3,3,2,2,2,2,2,2
PMP® Certification | Confidently Ace The PMP Exam,project management professional certification,1,4,4,1,1,1,1,1,1
Simplilearn® Courses | Online Certification Courses,simplilearn,4,2,2,4,4,4,4,4,4
